Etunimi,Lukumäärä
Frida,"1,682"
Anette,"1,677"
Seela,"1,667"
Joanna,"1,657"
Vera,"1,656"
Riitta-Liisa,"1,655"
Aurora,"1,638"
Vanessa,"1,638"
Inkeri,"1,626"
Eerika,"1,605"
Birgit,"1,599"
Janna,"1,584"
Varpu,"1,582"
Marketta,"1,567"
Mette,"1,557"
Anna-Kaisa,"1,531"
Salli,"1,523"
Iisa,"1,517"
Heljä,"1,512"
Irmeli,"1,510"
Eini,"1,506"
Mirjam,"1,483"
Miisa,"1,478"
Tilda,"1,447"
Titta,"1,445"
Kia,"1,443"
Anna-Maria,"1,418"
Kiira,"1,417"
Kerstin,"1,390"
Tuulikki,"1,380"
Ninni,"1,378"
Lena,"1,376"
Helga,"1,375"
Helli,"1,373"
Christina,"1,365"
Marjaana,"1,361"
Raisa,"1,335"
Aliisa,"1,319"
Anitta,"1,315"
Kirsi-Marja,"1,305"
Cecilia,"1,298"
Marja-Terttu,"1,295"
Thi,"1,282"
Brita,"1,281"
Mikaela,"1,279"
Miina,"1,263"
Tia,"1,260"
Melissa,"1,258"
Annukka,"1,246"
Tuovi,"1,231"
Hanna-Mari,"1,199"
Kaisla,"1,198"
Hanna-Leena,"1,191"
Ira,"1,180"
Elin,"1,171"
Inger,"1,171"
Henni,"1,160"
Elise,"1,157"
Melina,"1,151"
Reeta,"1,151"
Siru,"1,135"
Helinä,"1,133"
Anna-Mari,"1,131"
Daniela,"1,127"
Neela,"1,114"
Lisa,"1,108"
Marja-Riitta,"1,108"
Tina,"1,103"
Svetlana,"1,100"
Enna,"1,097"
Siv,"1,093"
Aura,"1,092"
Saaga,"1,091"
Barbro,"1,090"
Berit,"1,090"
Lempi,"1,090"
Marianna,"1,089"
Tuulia,"1,089"
Elle,"1,088"
Carola,"1,083"
Lilian,"1,079"
Malin,"1,076"
Kyllikki,"1,072"
Stina,"1,069"
Raila,"1,065"
Sointu,"1,062"
Laina,"1,059"
Katarina,"1,047"
Mimosa,"1,036"
Taika,"1,035"
Else,"1,030"
Liina,"1,015"
Solveig,"1,006"
Anna-Leena,998
Tinja,996
Karita,994
Pilvi,991
Erin,989
Mea,987
Juuli,986
Marie,982
Saima,982
Valma,977
Pirkko-Liisa,976
Diana,974
Hely,974
Teresa,971
Inna,970
Annina,969
Gunilla,966
Lina,965
Anne-Maria,962
Kira,958
Sanna-Mari,955
Marjo-Riitta,951
Carina,945
Säde,941
Victoria,937
Tatiana,927
Tessa,918
Leea,917
Susan,911
Edith,900
Virva,900
Vivian,900
Sarah,899
Nanna,891
Alva,889
Janni,889
Maj-Britt,888
Monika,884
Astrid,877
Henriikka,877
Eliisa,874
Adele,868
Ester,861
Milka,860
Hanna-Kaisa,858
Riia,856
Gun,851
Charlotta,847
Greta,846
Erica,838
Janica,836
Rebecca,835
Maija-Leena,833
Fiona,826
Aida,821
Lyydia,821
Josefiina,818
Liisi,802
Marjukka,797
Nadja,796
Anne-Marie,791
Minka,791
Aleksandra,790
Luna,790
Aulikki,789
Åsa,785
Ansa,783
Lyyli,783
Annu,782
Jasmine,778
Mirella,778
Ebba,777
Harriet,774
Ingrid,772
Tellervo,764
Maaret,760
Verna,757
Jatta,756
Mirjami,754
Rebekka,754
Gunnel,752
Nita,749
Pipsa,745
Sohvi,740
Ruut,739
Margareta,735
Nelly,734
Lila,732
Iita,724
Mimmi,724
Ekaterina,722
Meea,722
Malla,721
Lilia,720
Bertta,717
Ava,715
Aamu,709
Isabel,707
Annamari,703
Benita,702
Amelia,693
Anastasia,693
Piritta,693
Isa,691
Inari,689
Iines,684
Gunvor,681
Pirita,681
Sofie,680
Ruth,679
Onerva,677
Selina,677
Unna,674
Rea,671
Alice,664
Amalia,664
Viena,658
Ann-Mari,657
Minni,654
Suoma,652
Mirkka,637
Mailis,630
Tove,627
Annette,624
Livia,624
Doris,621
Orvokki,619
Matleena,618
Sylvia,611
Ina,610
Yvonne,609
Jennifer,608
Ann,606
Sarita,603
Elviira,602
Britta,597
Bea,590
Maya,588
Milena,583
Pirjo-Riitta,580
Regina,580
Sabina,580
Elna,578
Martina,566
Hanna-Maria,564
Ilse,564
Marju,562
Ines,559
Selja,555
Elisabeth,549
Ilmi,549
Jasmiina,545
Patricia,545
Raakel,544
Saini,544
Siri,544
Galina,543
Tara,543
Carolina,541
Maj-Lis,540
Emily,539
Christa,533
Christel,531
Helen,531
Sinna,528
Ulrika,527
Lydia,526
Henna-Riikka,525
Valentina,523
Kielo,518
Noomi,517
Eve,516
Ritva-Liisa,516
Tatjana,515
Ria,511
Anne-Maarit,510
Ida-Maria,509
Alissa,506
Veronica,505
Hellevi,504
Pirjo-Liisa,502
Eivor,501
Lily,500
Natalie,500
Evelina,498
Felicia,498
Linn,496
Siina,496
Lara,494
Kaino,492
Signe,491
Jessika,490
