Etunimi,Lukumäärä
Taneli,"1,387"
Mats,"1,385"
Kurt,"1,377"
Kenneth,"1,364"
Touko,"1,343"
Timi,"1,340"
Vertti,"1,335"
Ralf,"1,320"
Tenho,"1,318"
Taavi,"1,313"
Patrick,"1,299"
Viktor,"1,281"
Jonathan,"1,273"
Felix,"1,267"
Jari-Pekka,"1,266"
Simon,"1,265"
Rauli,"1,251"
Verneri,"1,250"
Kevin,"1,223"
Björn,"1,221"
Linus,"1,215"
Fredrik,"1,214"
Michael,"1,209"
Jiri,"1,208"
Bo,"1,202"
Mohamed,"1,201"
Per,"1,182"
Mico,"1,180"
Edvin,"1,177"
Raine,"1,150"
Juhana,"1,138"
Casper,"1,128"
Adam,"1,084"
Tobias,"1,084"
Eerik,"1,083"
David,"1,068"
Heino,"1,067"
Tuure,"1,061"
Dan,"1,049"
Ulf,"1,039"
Noah,"1,035"
Kosti,"1,028"
Niki,"1,017"
Artturi,"1,013"
Jan-Erik,"1,009"
Mathias,"1,003"
Sampsa,"1,002"
Eliel,952
Magnus,951
Ville-Veikko,922
Visa,920
Jens,904
Christer,901
Erkka,901
Armas,897
Helge,897
Leon,894
Victor,889
Tiitus,880
Allan,879
Joose,865
Iikka,863
Auvo,861
Sasu,855
Ilmo,853
Jose,846
Jalo,843
Taito,843
Ukko,841
Teo,839
Bror,837
Albert,834
Iivo,832
Kjell,820
Roger,820
Petrus,815
Jeremias,809
Krister,804
Alf,786
Aleksanteri,779
Niclas,779
Liam,776
Niila,776
Valto,773
Marco,772
Nikolas,767
Filip,764
Antton,760
Ahmed,759
Jussi-Pekka,756
Okko,754
Waltteri,754
Vesa-Matti,752
Jimmy,747
Altti,738
Jon,735
Elia,733
Jonatan,729
Kaarle,721
Gabriel,720
Venni,718
Oula,716
Göran,713
Isto,708
Noa,704
Nicolas,697
Paulus,682
Iivari,681
Richard,679
Börje,674
Johnny,674
Vincent,668
Jarl,665
Roy,665
Eric,660
Aamos,651
Rafael,642
Mio,637
Turo,627
Jim,621
Andrei,620
Jonni,614
Ilja,612
Tor,609
Dennis,603
Eevert,603
Rene,600
Torsti,595
Tim,594
Mark,589
Adrian,578
Nicholas,577
Ben,575
Isak,575
Theo,572
Christoffer,570
Hemmo,568
Reko,565
Jare,564
Hermanni,553
Atso,549
Jalmari,549
Amos,543
Sam,540
Aron,538
Petja,538
Håkan,534
Walter,529
Frank,526
Jasu,525
Nikolai,525
Ensio,520
Dani,516
Bjarne,513
Miki,512
Mohammad,511
Ville-Pekka,509
Aapeli,502
Pietari,502
Neo,500
Eppu,499
Vladimir,499
Vesa-Pekka,498
Raino,495
Juri,493
Åke,492
Elis,491
Eljas,489
Mirko,488
Kauno,487
Usko,476
Kaius,466
Antti-Jussi,465
Arno,464
Elliot,463
Jaro,462
Aukusti,461
Gunnar,460
Arne,459
Valter,459
Omar,458
Christopher,444
Aksel,441
Aleksandr,438
Guy,437
Kari-Pekka,430
Pekko,430
Gustav,427
Pontus,427
